,Country,Model,Price,Km,Year,Power_Hd,Fuel,Gearbox,CO2,Consumption
155,FR,Audi A3,22480.0,85521 ,2019,150 hp,Gasoline,Manual,125 ,- (
156,FR,Audi A3,22775.0,74441 ,2018,116 hp,Diesel,Manual,109 ,4.2 
157,FR,Audi A3,22999.0,26745 ,2017,- hp,Diesel,Automatic,- (,- (
158,FR,Audi A3,23225.0,10970 ,2019,116 hp,Diesel,Manual,118 ,4.5 
159,FR,Audi A3,23490.0,75002 ,2018,- hp,Diesel,Manual,- (,- (
160,FR,Audi A3,23525.0,38821 ,2019,150 hp,Gasoline,Automatic,117 ,5.1 
161,FR,Audi A3,23990.0,41799 ,2016,150 hp,Diesel,Manual,128 ,4.8 
162,FR,Audi A3,24190.0,47900 ,2018,150 hp,Gasoline,Automatic,113 ,5 
163,FR,Audi A3,24700.0,59865 ,2018,150 hp,Diesel,Automatic,119 ,4.6 
164,FR,Audi A3,24790.0,46524 ,2017,150 hp,Electric/Gasoline,Automatic,38 ,1.8 
165,FR,Audi A3,25575.0,14669 ,2019,150 hp,Gasoline,Automatic,117 ,5.2 
166,FR,Audi A3,25980.0,65986 ,2016,150 hp,Gasoline,Automatic,- (,- (
167,FR,Audi A3,25999.0,85821 ,2017,152 hp,Diesel,- (Gearing Type),124 ,- (
168,FR,Audi A3,27480.0,14000 ,2015,152 hp,Diesel,Automatic,- (,- (
169,FR,Audi A3,27750.0,12000 ,2020,150 hp,Gasoline,Automatic,110 ,5.2 
170,FR,Audi A3,27990.0,2719 ,2020,110 hp,Gasoline,Automatic,120 ,- (
171,FR,Audi A3,28600.0,7000 ,2019,204 hp,Electric/Gasoline,Automatic,40 ,1.9 
172,FR,Audi A3,28890.0,24408 ,2020,- hp,Gasoline,Automatic,147 ,- (
173,FR,Audi A3,29525.0,20754 ,2018,190 hp,Gasoline,Automatic,137 ,6 
174,FR,Audi A3,29875.0,12157 ,2020,150 hp,Gasoline,Automatic,117 ,5.1 
175,FR,Audi A3,29990.0,29600 ,2020,150 hp,Diesel,Automatic,120 ,4 
176,FR,Audi A3,29990.0,32177 ,2019,190 hp,Gasoline,Automatic,128 ,- (
177,FR,Audi A3,30225.0,29544 ,2020,150 hp,Gasoline,Automatic,117 ,5.2 
178,FR,Audi A3,30990.0,13218 ,2020,- hp,Gasoline,Automatic,- (,- (
179,FR,Audi A3,31499.0,18059 ,2020,152 hp,Others,- (Gearing Type),40 ,- (
180,FR,Audi A3,31500.0,25153 ,2020,150 hp,Diesel,Automatic,98 ,3.7 
181,FR,Audi A3,31999.0,10092 ,2020,152 hp,Others,- (Gearing Type),40 ,- (
182,FR,Audi A3,34025.0,16221 ,2020,150 hp,Diesel,Automatic,100 ,3.8 
183,FR,Audi A3,34490.0,22340 ,2021,- hp,- (Fuel),Automatic,- (,- (
184,FR,Audi A3,34778.0,10 ,2022,110 hp,Gasoline,Automatic,- (,- (
185,FR,Audi A3,35990.0,69000 ,2020,150 hp,Gasoline,Manual,119 ,5.5 
186,FR,Audi A3,37890.0,10813 ,2020,- hp,Diesel,Automatic,130 ,- (
187,FR,Audi A3,37900.0,7000 ,2022,- hp,Diesel,Automatic,- (,- (
188,FR,Audi A3,38490.0,10111 ,2021,- hp,- (Fuel),Automatic,- (,- (
189,FR,Audi A3,38990.0,10 ,2021,150 hp,Diesel,Automatic,112 ,4.5 
190,FR,Audi A3,39990.0,100 ,2021,150 hp,Electric/Gasoline,Automatic,134 ,5 
191,FR,Audi A3,39990.0,10 ,2021,150 hp,Diesel,Automatic,107 ,4 
192,FR,Audi A3,41998.0,6875 ,2021,150 hp,Diesel,Automatic,129 ,- (
193,FR,Audi A3,9490.0,163516 ,2010,105 hp,Diesel,Manual,- (,- (
194,FR,Audi A3,10980.0,200180 ,2011,140 hp,Diesel,Automatic,- (,- (
195,FR,Audi A3,15990.0,92590 ,2013,122 hp,Gasoline,Automatic,116 ,- (
196,FR,Audi A3,16980.0,75000 ,2016,110 hp,Diesel,Manual,99 ,3.8 
197,FR,Audi A3,56930.0,- ,,141 hp,,,,
198,,,,,,105 hp,,,,
199,,,,,2006,141 hp,Diesel,Manual,146 ,- (
200,FR,Audi A3,4990.0,222420 ,,200 hp,,,,
201,,,,,,105 hp,,,,
202,,,,,,105 hp,,,,
203,,,,,2006,141 hp,Diesel,Automatic,151 ,5.7 
204,FR,Audi A3,7490.0,70000 ,2006,124 hp,Diesel,Manual,146 ,- (
205,FR,Audi A3,7490.0,135727 ,,- hp,,,,
206,,,,,2006,141 hp,Gasoline,Automatic,120 ,7.7 
